gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
MICAL3	ENSG00000243156.7	19	5.210000038146973	3.7799999713897705	True
MINK1	ENSG00000141503.15	13	24.40999984741211	12.899999618530273	True
MLPH	ENSG00000115648.13	23	53.16999816894531	52.16999816894531	True
MPDZ	ENSG00000107186.16	19	10.979999542236328	3.5299999713897705	True
MPRIP	ENSG00000133030.20	20	48.220001220703125	24.280000686645508	True
MPST	ENSG00000128309.16	8	39.13999938964844	5.159999847412109	True
MPV17	ENSG00000115204.14	23	27.299999237060547	18.959999084472656	True
MRRF	ENSG00000148187.17	12	14.510000228881836	7.25	True
MSMB	ENSG00000263639.5	2	3370.75	167.3300018310547	True
MSR1	ENSG00000038945.14	14	0.9800000190734863	0.6000000238418579	False
MTFR1L	ENSG00000117640.17	23	31.139999389648438	9.65999984741211	True
MXI1	ENSG00000119950.20	10	16.25	7.139999866485596	True
MYH10	ENSG00000133026.12	11	9.529999732971191	1.6299999952316284	True
MYH9	ENSG00000100345.20	11	129.61000061035156	9.359999656677246	True
MYLK	ENSG00000065534.18	21	66.80999755859375	37.02000045776367	True
MYO18A	ENSG00000196535.15	24	16.290000915527344	6.28000020980835	True
MYO1B	ENSG00000128641.18	15	4.980000019073486	3.5299999713897705	True
MYO6	ENSG00000196586.13	8	5.880000114440918	2.490000009536743	True
MYOF	ENSG00000138119.16	9	17.760000228881836	8.930000305175781	True
NAA40	ENSG00000110583.12	10	6.0	4.309999942779541	True
NAP1L1	ENSG00000187109.13	27	106.0999984741211	33.66999816894531	True
NBEA	ENSG00000172915.18	8	3.9200000762939453	0.9800000190734863	False
NBPF12	ENSG00000268043.7	8	4.090000152587891	2.240000009536743	True
NCOA3	ENSG00000124151.18	5	8.3100004196167	0.30000001192092896	False
NCOR1	ENSG00000141027.20	27	8.75	7.670000076293945	True
NCOR2	ENSG00000196498.13	24	19.510000228881836	16.520000457763672	True
NDRG1	ENSG00000104419.14	29	137.42999267578125	104.77999877929688	True
NEDD4L	ENSG00000049759.17	38	17.719999313354492	12.3100004196167	True
NEK8	ENSG00000160602.13	8	3.869999885559082	1.0499999523162842	True
NIN	ENSG00000100503.23	18	3.9600000381469727	1.0700000524520874	True
NKTR	ENSG00000114857.17	19	21.290000915527344	15.819999694824219	True
NKX3-1	ENSG00000167034.9	2	111.55999755859375	0.0	False
NMNAT2	ENSG00000157064.10	4	0.17000000178813934	0.0	False
NOP2	ENSG00000111641.11	23	8.5600004196167	7.820000171661377	True
NOX5	ENSG00000255346.9	9	0.20000000298023224	0.20000000298023224	False
NPHP3	ENSG00000113971.19	11	7.559999942779541	5.300000190734863	True
NPIPA5	ENSG00000183793.13	3	28.079999923706055	1.8899999856948853	True
NPL	ENSG00000135838.13	12	1.2000000476837158	0.7300000190734863	False
NPRL2	ENSG00000114388.12	17	6.360000133514404	3.5	True
NR4A1	ENSG00000123358.19	22	146.11000061035156	75.75	True
NRBP2	ENSG00000185189.17	10	22.09000015258789	19.209999084472656	True
NRCAM	ENSG00000091129.19	17	0.8999999761581421	0.18000000715255737	False
NSD1	ENSG00000165671.19	16	6.389999866485596	0.49000000953674316	False
NSFL1C	ENSG00000088833.17	13	15.479999542236328	12.539999961853027	True
NSMF	ENSG00000165802.21	11	16.440000534057617	14.010000228881836	True
NTNG1	ENSG00000162631.18	11	1.7699999809265137	0.5600000023841858	False
NUCKS1	ENSG00000069275.12	2	44.09000015258789	27.040000915527344	True
NUMB	ENSG00000133961.19	32	12.489999771118164	8.100000381469727	True
NWD1	ENSG00000188039.13	6	1.899999976158142	0.7699999809265137	False
ODF3B	ENSG00000177989.13	9	13.100000381469727	8.930000305175781	True
OGG1	ENSG00000114026.21	18	5.090000152587891	4.630000114440918	True
ORMDL1	ENSG00000128699.13	7	25.670000076293945	11.5	True
OSBPL3	ENSG00000070882.12	14	1.4800000190734863	0.5400000214576721	False
OSBPL6	ENSG00000079156.16	9	0.9300000071525574	0.30000001192092896	False
PAK6	ENSG00000137843.11	17	2.009999990463257	0.7099999785423279	False
PALM	ENSG00000099864.17	11	22.579999923706055	9.970000267028809	True
PATE1	ENSG00000171053.9	3	0.029999999329447746	0.0	False
PBRM1	ENSG00000163939.18	20	7.690000057220459	0.44999998807907104	False
PCDH11Y	ENSG00000099715.14	7	0.1599999964237213	0.03999999910593033	False
PCSK6	ENSG00000140479.16	21	0.46000000834465027	0.30000001192092896	False
PDCD2	ENSG00000071994.10	15	9.470000267028809	3.7300000190734863	True
PDDC1	ENSG00000177225.16	16	20.850000381469727	3.440000057220459	True
PDGFA	ENSG00000197461.13	6	18.979999542236328	3.0799999237060547	True
PDGFRB	ENSG00000113721.13	11	54.63999938964844	16.829999923706055	True
PDS5B	ENSG00000083642.18	9	5.949999809265137	4.429999828338623	True
PDZD2	ENSG00000133401.15	12	2.5899999141693115	0.9700000286102295	False
PFKM	ENSG00000152556.15	32	10.760000228881836	7.809999942779541	True
PGAP2	ENSG00000148985.19	37	7.75	6.789999961853027	True
PGRMC1	ENSG00000101856.9	2	76.56999969482422	0.6899999976158142	False
PI16	ENSG00000164530.13	3	12.670000076293945	3.7899999618530273	True
PIANP	ENSG00000139200.13	6	2.319999933242798	2.299999952316284	True
PIAS1	ENSG00000033800.13	8	8.359999656677246	6.21999979019165	True
PIAS2	ENSG00000078043.15	16	2.8499999046325684	1.7599999904632568	True
PIK3C2G	ENSG00000139144.9	7	0.1599999964237213	0.0	False
PIWIL1	ENSG00000125207.7	8	0.009999999776482582	0.0	False
PKM	ENSG00000067225.17	25	195.2100067138672	34.56999969482422	True
PKN1	ENSG00000123143.12	15	29.920000076293945	13.0	True
PLA2G4C	ENSG00000105499.13	24	8.329999923706055	1.6399999856948853	True
PLCB4	ENSG00000101333.16	13	3.380000114440918	0.8700000047683716	False
PLCD4	ENSG00000115556.13	15	1.809999942779541	1.659999966621399	True
PLEKHM1	ENSG00000225190.10	18	9.420000076293945	4.460000038146973	True
PMEPA1	ENSG00000124225.15	8	22.700000762939453	15.489999771118164	True
PML	ENSG00000140464.19	22	10.8100004196167	8.579999923706055	True
PODXL	ENSG00000128567.16	8	14.40999984741211	0.9800000190734863	False
POLM	ENSG00000122678.16	18	5.619999885559082	5.019999980926514	True
POLR2G	ENSG00000168002.11	8	53.34000015258789	5.730000019073486	True
POLR2J2		0	0.0	0.0	False
POLR2J3	ENSG00000168255.19	21	28.270000457763672	11.970000267028809	True
