gene	accession	Splice_Event	Type	endpoint	HR	direction	bh_p	protein_change	n_isoforms	is_prostate_disease	disease_terms	function
PRICKLE4	Q2TBC4	PRICKLE4_AA_76141	AA	PFI	4.348	risk-up	0.0005739193074215	frameshift_or_seqchange	3	no	.	
ITGA6	P23229	ITGA6_ES_55968	ES	PFI	2.474	risk-up	0.0022777194927236	frameshift_or_seqchange	8	no	Epidermolysis bullosa, junctional 6, with pyloric atresia	Integrin alpha-6/beta-1 (ITGA6:ITGB1) is a receptor for laminin on platelets (By similarity). Integrin alpha-6/beta-1 (ITGA6:ITGB1) is present in oocytes and is involved in sperm-egg fusion (By similarity). Integrin alpha-6/beta-4 (ITGA6:ITGB4) is a receptor for laminin in epithelial cells and it plays a critical structural role in the hemidesmosome (By similarity). ITGA6:ITGB4 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling (PubMed:20682778). ITGA6:ITGB4 bin
CTNND1	O60716	CTNND1_ES_15935	ES	PFI	0.45	risk-down	0.0033989219793554	frameshift_or_seqchange	32	no	Blepharocheilodontic syndrome 2	Key regulator of cell-cell adhesion that associates with and regulates the cell adhesion properties of both C-, E- and N-cadherins, being critical for their surface stability (PubMed:14610055, PubMed:20371349). Promotes localization and retention of DSG3 at cell-cell junctions, via its interaction with DSG3 (PubMed:18343367). Beside cell-cell adhesion, regulates gene transcription through several transcription factors including ZBTB33/Kaiso2 and GLIS2, and the activity of Rho family GTPases and 
FES	P07332	FES_AD_32502	AD	PFI	3.589	risk-up	0.0236456262637726	frameshift_or_seqchange	4	no	.	Tyrosine-protein kinase that acts downstream of cell surface receptors and plays a role in the regulation of the actin cytoskeleton, microtubule assembly, cell attachment and cell spreading. Plays a role in FCER1 (high affinity immunoglobulin epsilon receptor)-mediated signaling in mast cells. Acts down-stream of the activated FCER1 receptor and the mast/stem cell growth factor receptor KIT. Plays a role in the regulation of mast cell degranulation. Plays a role in the regulation of cell differe
STEAP3	Q658P3	STEAP3_ME_95656	ME	PFI	0.458	risk-down	0.0386338841638868	frameshift_or_seqchange	4	no	Anemia, hypochromic microcytic, with iron overload 2	Integral membrane protein that functions as a NADPH-dependent ferric-chelate reductase, using NADPH from one side of the membrane to reduce a Fe(3+) chelate that is bound on the other side of the membrane (PubMed:26205815). Mediates sequential transmembrane electron transfer from NADPH to FAD and onto heme, and finally to the Fe(3+) chelate (By similarity). Can also reduce Cu(2+) to Cu(1+) (By similarity). Mediates efficient transferrin-dependent iron uptake in erythroid cells (By similarity). M
SMN1	Q16637	SMN1_AA_72422	AA	PFI	1.691	risk-up	0.0448362699347258	frameshift_or_seqchange	4	no	Spinal muscular atrophy 1; Spinal muscular atrophy 2; Spinal muscular atrophy 3; Spinal muscular atrophy 4	The SMN complex catalyzes the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, and thereby plays an important role in the splicing of cellular pre-mRNAs (PubMed:18984161, PubMed:9845364). Most spliceosomal snRNPs contain a common set of Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG that assemble in a heptameric protein ring on the Sm site of the small nuclear RNA to form the core snRNP (Sm core) (PubMed:18984161). In the cytosol, 
PRUNE2	Q8WUY3	PRUNE2_ES_86643	ES	PFI	0.544	risk-down	0.0457469384438499	frameshift_or_seqchange	5	no	.	May play an important role in regulating differentiation, survival and aggressiveness of the tumor cells
